#Software: Microsoft Internet Information Server 4.0
#Version: 1.0
#Date: 2004-03-30 01:32:28
#Fields: date time c-ip cs-username s-sitename s-computername s-ip cs-method cs-uri-stem cs-uri-query sc-status sc-win32-status sc-bytes cs-bytes time-taken s-port cs-version cs(User-Agent) cs(Cookie) cs(Referer)
2004-03-30 01:32:28 68.19.66.203 - W3SVC399 VNT28.BELL 10.10.8.31 GET /robots.txt - 404 2 623 175 328 80 HTTP/1.1 Mozilla/4.0+(compatible;+grub-client-1.5.3;+Crawl+your+own+stuff+with+http://grub.org) - -
2004-03-30 02:55:29 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /Index.htm - 200 0 1061 372 421 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - -
2004-03-30 02:55:37 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/index.jpg - 200 0 31064 289 6906 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com
2004-03-30 02:55:44 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /index_CHN.htm - 200 0 16106 417 1188 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com
2004-03-30 02:55:44 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /css.css - 200 0 720 295 390 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:45 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/logo.gif - 200 0 3481 307 906 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:45 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but01a.gif - 200 0 638 308 1110 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:45 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but02a.gif - 200 0 770 308 390 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:45 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but03a.gif - 200 0 771 308 375 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:45 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but04a.gif - 200 0 752 308 375 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:45 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but05a.gif - 200 0 789 308 375 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:47 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but08a.gif - 200 0 663 308 407 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:47 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but07a.gif - 200 0 794 308 406 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:47 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but06a.gif - 200 0 792 308 390 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:49 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but10a.gif - 200 0 699 308 2031 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:51 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image/top_but09a.gif - 200 0 792 308 1969 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
2004-03-30 02:55:53 209.148.138.42 - W3SVC399 VNT28.BELL 10.10.8.31 GET /image_home/title01.gif - 200 0 1738 310 2172 80 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1) - http://www.sictec.com/index_CHN.htm
